Blue Mastery 1,Blue Mastery 2,Blue Mastery 3,Blue Mastery 4,Blue Mastery 5,Blue Masteries Avg,Blue Mastery Min,Blue Mastery Max,Blue Masteries Median,Blue Masteries Kurtorsis,Blue Masteries Skewness,Blue Masteries Std,Blue Masteries Variance,Blue Winrate 1,Blue Winrate 2,Blue Winrate 3,Blue Winrate 4,Blue Winrate 5,Blue Winrates Avg,Blue Winrate Min,Blue Winrate Max,Blue Winrates Median,Blue Winrates Kurtorsis,Blue Winrates Skewness,Blue Winrates Std,Blue Winrates Variance,Red Mastery 1,Red Mastery 2,Red Mastery 3,Red Mastery 4,Red Mastery 5,Red Mastery Min,Red Mastery Max,Red Masteries Avg,Red Masteries Median,Red Masteries Kurtorsis,Red Masteries Skewness,Red Masteries Std,Red Masteries Variance,Red Winrate 1,Red Winrate 2,Red Winrate 3,Red Winrate 4,Red Winrate 5,Red Winrates Avg,Red Winrate Min,Red Winrate Max,Red Winrates Median,Red Winrates Kurtorsis,Red Winrates Skewness,Red Winrates Std,Red Winrates Variance,Blue Won
44813,4726,17940,152992,1411686,326431.4,4726,1411686,44813,4.810892443,2.186431654,545129.1597,2.97166E+11,0.75,1,0.913043478,0.421052632,0.497826087,0.716384439,0.421052632,1,0.75,-2.517752674,-0.148436763,0.22593415,0.05104624,87053,130536,45374,21248,119910,21248,130536,80824.2,87053,-2.21589743,-0.293389023,42056.631,1768760211,0.633333333,0.623529412,0.285714286,0.333333333,0.5,0.475182073,0.285714286,0.633333333,0.5,-2.780763061,-0.2417284,0.143981798,0.020730758,1
102675,114648,181258,161296,49436,121862.6,49436,181258,114648,-0.639656067,-0.348498534,46365.14512,2149726682,0.506410256,0.565217391,0.458333333,0.5,0.536585366,0.513309269,0.458333333,0.565217391,0.506410256,-0.04353353,-0.104516228,0.036009211,0.001296663,73907,57871,20352,29229,926632,20352,926632,221598.2,57871,4.940323785,2.219464494,353043.3083,1.2464E+11,0.459016393,0.612903226,0.444444444,0.358974359,0.449225473,0.464912779,0.358974359,0.612903226,0.449225473,2.591298548,1.0929084,0.082248323,0.006764787,1
131536,47081,1414716,332801,473098,479846.4,47081,1414716,332801,3.227253845,1.741843693,490765.7457,2.40851E+11,0.590909091,0.597014925,0.593830334,0.555555556,0.494444444,0.56635087,0.494444444,0.597014925,0.590909091,1.928933667,-1.557302747,0.038950184,0.001517117,266363,279439,162260,25546,104584,25546,279439,167638.4,162260,-1.743547998,-0.253151742,96375.26186,9288191098,0.5625,0.619047619,0.5625,0.617647059,0.512195122,0.57477796,0.512195122,0.619047619,0.5625,-0.964002827,-0.386781354,0.040039157,0.001603134,1
13088,63690,8210,107385,91536,56781.8,8210,107385,63690,-2.72805043,-0.119787511,40211.01692,1616925882,0.4,0.461538462,0.571428571,0.592592593,0.541176471,0.513347219,0.4,0.592592593,0.541176471,-1.361529972,-0.701454887,0.072054812,0.005191896,170486,2030,131794,3512,86527,2030,170486,78869.8,86527,-2.423337005,0.034811793,67581.48363,4567256929,0.569565217,1,0.493975904,0.6,0.534482759,0.639604776,0.493975904,1,0.569565217,4.287983527,2.029386247,0.183639431,0.033723441,0
71244,61674,289188,120440,16626,111834.4,16626,289188,71244,2.788882303,1.59229913,94611.45968,8951328303,0.538461538,0.590909091,0.572727273,0.607476636,0.466666667,0.555248241,0.466666667,0.607476636,0.572727273,1.159784098,-1.218123678,0.049866836,0.002486701,3076420,318681,4473,7605,3302,3302,3076420,682096.2,7605,4.787648089,2.181305243,1203306.296,1.44795E+12,0.49702381,0.550541516,0.333333333,0.545454545,0,0.385270641,0,0.550541516,0.49702381,2.061356577,-1.564364631,0.208131241,0.043318613,1
14468,37346,190178,71477,47299,72153.6,14468,190178,47299,3.36148878,1.762814592,61785.37916,3817433078,0.764705882,0.727272727,0.555555556,0.5625,0.285714286,0.57914969,0.285714286,0.764705882,0.5625,0.843474813,-0.96126089,0.169298415,0.028661953,253085,3176,88857,114650,4358,3176,253085,92825.2,88857,0.89177492,1.049355935,91693.72556,8407739308,0.655405405,0,0.333333333,0.545454545,0.5,0.406838657,0,0.655405405,0.5,1.331840157,-1.225416542,0.228297856,0.052119911,1
28714,33224,77759,211811,39901,78281.8,28714,211811,39901,3.669394781,1.917634182,68979.09614,4758115704,0.52,0.5,0.534482759,0.43902439,0.633333333,0.525368096,0.43902439,0.633333333,0.52,1.722534911,0.713092112,0.063035168,0.003973432,247053,85368,43597,1913646,23315,23315,1913646,462595.8,85368,4.759820191,2.173427097,729771.7191,5.32567E+11,0.684210526,0.666666667,0.454545455,0.486419753,0.375,0.53336848,0.375,0.684210526,0.486419753,-2.502811484,0.204498193,0.121671326,0.014803911,1
2148,102400,40557,37530,10775,38682,2148,102400,37530,1.887591758,1.29179343,35152.1267,1235672012,0,0.515151515,0.541666667,0.428571429,0.6,0.417077922,0,0.6,0.515151515,3.714471269,-1.887362668,0.215725458,0.046537473,72204,481713,858,13432,53739,858,481713,124389.2,53739,4.590539961,2.121827493,180536.1468,32593300302,0.547619048,0.764705882,1,0.5,0.625,0.687464986,0.5,1,0.625,0.516505721,1.092633921,0.180136711,0.032449235,0
92111,6603,159913,53417,15063,65421.4,6603,159913,53417,-0.077315229,0.890794794,56179.48997,3156135093,0.565217391,0.222222222,0.5,0.509090909,0.571428571,0.473591819,0.222222222,0.571428571,0.509090909,4.035377468,-1.963574825,0.12892752,0.016622305,6689,1453,76054,34248,34568,1453,76054,30602.4,34248,0.600236825,0.888229939,26519.43644,703280509,1,0.333333333,0.6,0.565217391,1,0.699710145,0.333333333,1,0.6,-2.086488303,0.025815606,0.261767216,0.068522075,0
29071,142567,29735,2288,103776,61487.4,2288,142567,29735,-1.72790397,0.679685239,52774.67969,2785166816,0.510204082,0,0.642857143,0.666666667,0.466666667,0.457278912,0,0.666666667,0.510204082,3.118118888,-1.702944701,0.24094635,0.058055144,374691,247748,94138,24128,11766,11766,374691,150494.2,94138,-1.244548862,0.794205287,140080.3041,19622491600,0.666666667,0.585714286,0.661290323,0.571428571,0,0.497019969,0,0.666666667,0.585714286,4.536896847,-2.10633905,0.251474421,0.063239385,0
58177,4654,17769,12003,350119,88544.4,4654,350119,17769,4.58812883,2.131029389,132097.5342,17449758544,0.444444444,0.571428571,0.555555556,0.538461538,0.496453901,0.521268802,0.444444444,0.571428571,0.538461538,-0.204661655,-0.919812598,0.045836526,0.002100987,15416,394751,123699,49160,118553,15416,394751,140315.8,118553,3.270731767,1.714836727,133713.3863,17879269684,0.222222222,0.45,0.565217391,0.452830189,0.517241379,0.441502236,0.222222222,0.565217391,0.452830189,2.733125105,-1.499942889,0.117750683,0.013865223,1
